,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
402,Acetech,Coimbatore,,,,,,"Automobile, Agriculture, Construction, Energy, Mining & Earth Moving, Defense & Railways, Infrastructure, Textiles",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Benni and Wali Engineering,Belagavi,,,,,,"Automobile, Defence, Aerospace, General Engineering",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Pradeep Metal,Thane,,,,,,"Process Industry, Oil & Gas, Off-Highway Vehicles, Pipes & Fittings, General Engineering",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Suprime Engineering,Coimbatore,,,,,,"Valves, Automotive, General Engineering",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Meticulous Automation,Coimbatore,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Parthasarathy CNC Technology Pvt Ltd,Coimbatore,,,,,,"Turbo Charge industry, Agri Industry, General engineering, Plastic Injection Moulding, Railway industry, Wind Turbine Energy",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Chhabra forging,Ludhiana,,,,,,"Automotive, Automobile, Engineering, Casting, Rolling, Chemical Industries, Telecom, Oil & Gas, Solar Power, Railways, Construction, Bicycles, Fasteners",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Anugraha Casting,Coimbatore,,,,,,"Valves & Pumps, General Engineering, Earth Moving, RRT",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Nexo Industries Pvt. Limited,Ludhiana,,,,,,"Electricity, Telecommunication, Railways, Road Safety Guard Rails, Agricultural Equipment",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,SRI KOTESWARA Cam Systems Pvt. Ltd,Ranga Reddy,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,A P LMEC SYSTEMS,Ranga Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Swadeshi Engineering Ent. Pvt Ltd,South East Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Wezmann Tools Pvt Ltd,Nashik,,,,,,"Biomedical Implants, Casted, Mining , General engineering",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Sujan Industries,Palghar,,,,,,"Aerospace, Defence, Railways, Off-Highway, Automotive, Commercial Vehicles, Castings",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Kalra Overseas & Precision Engineering Limited,Satara,,,,,,"Automotive, Hydraulics, Agricultural Equipment",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,SREE Mahalakshimi Industries,Chennai,,,,,,Valves & Pumps,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Sri Gowrish CNC Pvt Ltd,Coimbatore,,,,,,"Valve, Turbo Charger, Windmill Gerabox, Railways, Printing Machinery, Automotive",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Aditya Accurate Parts,Vadodara,,,,,,"Jigs & Fixture, Electrical",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,See Tech Indya,Kanchipuram,,,,,,Automotive,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Vartis Engineering Pvt. Ltd.,Kotharia,,,,,,"Valves & Pumps, Automotive, General Engineering, Marine Transmission, Food Processing, Oil & Gas, Industrial Electrical, Earth Moving, Aerospace, Agriculture Machinery Parts, Hydraulics, Textile",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Taram Engineering Pvt Ltd,Bangalore Urban,,,,,,"Earth Moving , Construction, Diesel Engine, Railway, OEMs",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Anand Engineering Products Pvt. Ltd.,Tiruchirappalli,,,,,,"Power & Energy, Mining, Construction, Industrial Boilers, Wind Energy",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Venkatesh Automobile Pvt Ltd,Mumbai Suburban,,,,,,"Agriculture, Power Transmission, Light Vehicle, Medium & Heavy Trucks, Passenger Vehicle",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Craft Engineering,Coimbatore,,,,,,"Electrical, Automobile, Storage Racks, Conveyors , Sheet Metal Enclosures, Spares",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Aaress Auto Pvt Ltd,Faridabad,,,,,,"Automobile, Transmission, Construction Equipment",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,A B TOOLS PRIVATE LIMITED,Solan,,,,,,"Automobile, Cement, Construction Equipment, Fertilizers, Thermal & Hydro Power Generation, Printing Machinery, Railways, Machine Tool, Sugar, Valves & Pumps",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Anupam Casting & Engg Works,Sonepat,,,,,,Automobile,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Autokast Ltd,Alappuzha,,,,,,"Automobile, Heavy Engineering, Valve & Pumps, Machine Tool, Ash Handling, Tractors, Tillers",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Atul Engineering Udyog,Agra,,,,,,"Railway, Locomotive",Shell Moulding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Raj Enterprise,Rajkot,,,,,,"Steel, Power & Energy, Thermal, Mines, Cement, Sugar, Earth Moving, General Engineering, Marine, Oil & Gas, Valves & Pumps",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Aggarwal Ferrouscast Private Limited,Ambala,,,,,,"Railways, Automotive & Tractor, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Abha Power And Steel Pvt Ltd,Bilaspur,,,,,,"Municipal Castings, Agricultural, Mining Industries, Power & Steel Industry, Cement Industry, Valves Industry, Railway Units, Global OEM's, Textile Machinery",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,AMMARUN FOUNDRIES,Coimbatore,,,,,,"Automobile, Hydraulics, Valves & Pumps, Compressor, Textile, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,AADIDEV SPHEROCAST PVT LTD.,Shimoga,,,,,,"Valves & Pumps, Automotive, Hydraulics, Locomotive",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Amit Castings,Howrah,,,,,,"Automobile, Chemical Industries, Agricultural, Earthmoving, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,ATKOTIYA ENGG. WORKS PVT LTD,Rajkot,,,,,,"Automobile, Marine Engines, Air Compressor, Pump & Motor, Solar Panel, Pipes & Fitting, Oil & Gas, Railways","Centrifugal Casting, Shell Moulding, Gravity Die Casting, Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Bedi Exports International,Jalandhar,,,,,,Scaffolding,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Asansol Steel Castings Pvt Ltd.,Bardhaman,,,,,,"Railways, Hydraulic machineries, Earthmoving Equipment",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,AGV International,Howrah,,,,,,"Valves & Pumps, Railways, Agriculture, Sanitary & Plumbing",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Aradhana Engineering Works,Rajkot,,,,,,"Automobile, Machinery, Power Transmission, Agriculture, Pumps, General engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Belgaum Ferrocast (India) Pvt Ltd,Belagavi,,,,,,"Hydraulics, Infrastructure, Pumps(Water/Oil), Transmission, Industrial Equipments, Heavy Stationary Engine Components, Automobile, Valves",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Shri Balaji Industries,Jaipur,,,,,,"Mining, Cement, Thermal Power Plants, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Genova Forgings Private Limited,Coimbatore,,,,,,"Valves & Pumps, Automobile, Aerospace Industry, Oil & Gas, Electrical, Power & Energy, Material Handling Industry, Construction & Mining Equipments, Heavy Machinery Industry, Defence",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Heattrans Equipments Pvt. Ltd.,Ahmedabad,,,,,,"Pneumatic, Hydraulics, Injection Molding Machine, Mining and Crushing Machinery, Pump & Valve, Rolling Mill Manufacturer, Root Blower & Vacuum Pump Manufacturer, Steam & Hydro Turbine Manufacturer, Automobile",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Cooper Corporation Pvt. Ltd.,Satara,,,,,,"Locomotive, Automotive, Motorcycle, Industrial & Genset, Marine, General Engineering","Centrifugal Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Pinnacle Formworks and Fabrication,Navi Mumbai,,,,,,"Steel Manufacturing, Oil/Gas & Petrochemicals, Ports, Power & Energy, Commercial Infrastructure , Water Transmission",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Encorp Powertrans Pvt Ltd,Thane,,,,,,"Power Transmission, Substation Structures, Railways, Steel Rolling Mills, Power Plants, Heavy Engineering, General Engineering, Earthing & Grounding",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Eagle Technofab LLP,Gandhinagar,,,,,,"Power Plants, Steel Plants, Railway/ Road, Heavy load carrying, Pharmaceutical industry, Governments buildings, Aviation/stadiums",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Akurai PEB LLP,Ahmedabad,,,,,,"Shopping Malls, Factories, Commercial Showrooms, Hypermarkets, Office Buildings, Warehouses, Convention Centers, Sports Arenas, Workshops, Labor Camps, Distribution Center, Aircrafts Hangars, Poultry Farmhouses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,TMS Engineers Pvt Ltd,Pune,,,,,,"Earthmoving Equipment's, Renewable Energy, Oil & Gas Sector, Mining Sector, Material Handling, Agriculture",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,NN Engineers,Coimbatore,,,,,,Thermal power plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Sri Rathna Fabricators,Vellore,,,,,,"Heavy Fabrication Industries, Wind Mill, Electrical & Electronics, Railways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,RDA Tech,,,,,,,"Railways, Defence, Wheel Balancing Equipments, Electric Three Wheeler Autos, Switch Gear Industry, Fire Fighting Panels, RIG Manufacturing, Farming Implements, Chemical Industries",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Rishikesh Structural Solutions LLP,Vadodara,,,,,,"Railways, Heavy Fabrication Industries, Civil Work",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Srinathji Ispat Ltd.,Ghaziabad,,,,,,"Steel Industry, Cement Industry, Sugar Industry, Thermal Industry, Wind Power Industry, Hydro Power Industry, Agriculture Industry, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Riddhi Casting Pvt. Ltd.,Kolhapur,,,,,,"Automotive, Tractor, Earth moving equipment's, Pump & Valves",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Hindustan Engineers,Belagavi,,,,,,"Agriculture, Hydraulics, Pumping System, Electric Motor Housing, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Chandan Foundry & Industrial Corporation,Ludhiana,,,,,,"Oil Mill Machinery, Tractor Parts, Automobile",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,GCI Castings (INDIA) Pvt. Ltd.,Bangalore Urban,,,,,,"Machine tool manufacturers, Earthmoving machinery, Pump & Valves, Textile equipment manufacturers, Hydraulic and Pneumatic equipment, Energy sector, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Binay Udyog Pvt Ltd,Kolkata,,,,,,"Sanitary Ware, Plumbing",Centrifugal Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,GRIHALAXMI METAL INDUSTRIES,Belagavi,,,,,,"Pumps & Valves, Diesel Engine, Air Compressors, Defence, Automobiles, Machine Tools, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Grey Nodules Inductocast Pvt Ltd,Ahmedabad,,,,,,"Electro-Magnetic Industries, Long Rolling Mill Components, Electrical Insulations, Heavy Vehicle , Automotive, Locomotives, Engine Mountings, Railways, Construction, Earth Moving, Hydraulic Pumps, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Atlas Castings Pvt. Ltd.,Gautam Buddh Nagar,,,,,,"Pumps &Valves, Air Compressor, Cooling Tower, Machine Tool, Elevator",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,EURO CAST AND FORGE,Ludhiana,,,,,,"Automobile, Agriculture, Hand Tools, General Engineering, Defence, Construction Equipments",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Airking Industries,Rajkot,,,,,,"Insulator Components, Transmission Line, Automobile, Agriculture, Automotive, Valves & Pumps, General Engineering, Marine, Engine, Machinery Industries",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,AKP Ferrocast Pvt Ltd,Belagavi,,,,,,"Construction Equipment, Automotive, Power Generation, Compressors, Agriculture, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Crawley & Ray (F&E) Pvt. Ltd.,Howrah,,,,,,"Industrial Water Supply , Building Services, Chemical Industries",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Aquasub Engineering,Coimbatore,,,,,,"Pumps and Valves, Building and Commercials, Waste Water Solutions, Solar, Agriculture, Domestic",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Eltex Super Castings,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Grace Castings Limited,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Mk Industries,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Zorhat Alloys Pvt Ltd,Vadodara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Jaya Hind Industries Pvt Ltd,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Styr Foundry & Mfg. Co.,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Ahmedabad Victoriaa Engineering Pvt. Ltd.,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Akaar Founders Pvt Ltd,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,M B Casting Pvt Ltd.,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Mahindra CIE Automotive Ltd.,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Kirloskar Ferrous Industries Ltd.,Chitradurga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Kamy Castings Pvt. Ltd.,Chennai,,,,,,,"Gravity Die Casting, Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Jagdish Technocast Pvt. Ltd.,Rajkot,,,,,,,Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Triveni Industries,Bangalore Urban,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,MITC Rolling Mills Pvt Ltd,Nashik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Machine Tools Engineering,Bangalore Urban,,,,,,"Hydraulics, Mining",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Flash Engineers,Bangalore Urban,,,,,,"Mining, Road Construction, Earth Moving Equipments",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Ni-Chrome Alloy Castings Pvt Ltd,Vishakhapatnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Kail Engineers,Bangalore Urban,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Annapurna Iron Works,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Amik Metals Pvt. Ltd.,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Cast Master Machining Company,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Anil Foundry Works,Gurdaspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Asit Iron Foundry Pvt. Ltd.,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Bangalore Malleable Castings Pvt. Ltd.,Bangalore Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,A.K. Multimetals Pvt. Ltd.,Fatehgarh Sahib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Dakshin Foundry Pvt. Ltd.,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Delux Foundry,Fatehgarh Sahib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Neo Cast Steel,Bhavnagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Finex Technocast,Rajkot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Lamina Foundries Ltd.,Udupi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,M.G. Industries (Regd),Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Malnad Alloy Castings Pvt. Ltd.,Shimoga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Palm Alloy Steels Pvt Ltd,Mumbai Suburban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Plasma Alloys Pvt. Ltd.,Rajkot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Prompt Castings Pvt. Ltd.,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Q Plus Technologies Pvt Ltd,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Pritika Group,Sahibazada Ajit Singh Nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Premier Iron & Steel Works,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Neha Toka Pvt. Ltd.,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,A.ES Engineers Pvt. Ltd.,Faridabad,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Munjal Kiriu Industries Pvt. Ltd.,Gurgaon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,R.N. Machine Tools,Rajkot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Zenith Precision Pvt. Ltd.,Bangalore Urban,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Koso India Pvt. Ltd,"Coimbatote, Nashik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Parikh Udyog,Kolhapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Indsat Corporation,Chennai,,,,,,,"Gravity Die Casting, Die Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Prabhat Castings,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Lalkrupa Casting Co.,Rajkot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Sharp Chucks & Machines Ltd.,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Pace Exim Corporation,Faridabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Kaushal Industries,Dhaulpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Shanti FouMach Pvt. Ltd.,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Shah Hitech Auto Alcast Co. Pvt. Ltd.,Seraikela Kharsawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Porwal Auto Components Ltd.,Dhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,JMP Manufacturing Co.,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Shree M.L. Castings Pvt. Ltd.,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Rushas Engg. Co. Pvt. Ltd.,Ahmednagar,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,S.G. Industries,Meerut,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Ravi Enterprise,Kolhapur,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Khodiyar Castech,Rajkot,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Shanthala Spherocast Pvt. Ltd.,Shimoga,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Rakesh Moulding Works,,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Shree Bankey Bihari Udyog,Agra,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Shubhlabh Casting Llp,Ahmedabad,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Shree Ram Agrotech,Latur,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Bhawani Castings,Fatehgarh Sahib,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Indian Diecasting Industries,Aligarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,J.P.F. Metacast Pvt. Ltd.,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Jaidev Castalloys Pvt. Ltd.,Sri Ganganagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Jainsons Industries,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Jayaswal Neco Industries Ltd.,Raipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Jhalani Ispat Pvt. Ltd.,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Jp Copper Alloys,Rajkot,,,,,,,"Sand Casting, Hot Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Jsons Foundry Pvt. Ltd.,Sangli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,K.T.N. Metals,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Kejriwal Castings Pvt. Ltd.,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Kudale Iron Works,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Lava Cast Pvt. Ltd.,Panchmahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Mahalakshmee Castings Pvt. Ltd,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Parag Casting Co.,Rajkot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Arun Machine Components,Bangalore Urban,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Sage Metals Pvt Ltd,Ghaziabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Sandfits Foundries Pvt. Ltd.,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Saroj Castings Pvt. Ltd.,Kolhapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Se Forge Ltd.,Tiruppur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Ship Cast Corporation,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Macro Engineering Works,Bangalore Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,K S N Enterprises,Bangalore Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Jayam Fab Engineering Pvt Ltd,Bangalore Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Navinchandra & Co.,Coimbatore,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Ratnamani Techno Casts Pvt Ltd.,Gandhinagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Shri Vaibhav Meta Cast Pvt. Ltd.,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Howrah Ferrous Limited,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Shivas Auto Components (P) Ltd.,Chennai,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,SPB New Alloy Steel Pvt Ltd,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Shanxi Y&D Flying Trading Co. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Srikrishna Industrial Works India Pvt Ltd,Bangalore Urban,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Dham Fasteners,Nashik,,,,,,"Automobile, Electrical, Electronic, Engineering Machinery",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Mechtech Industries,Jamnagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Balu Auto Components Pvt Ltd,Kanchipuram,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Om Sakthi Industries,Tiruvallur,,,,,,"Automotive, Agricultural, OEMS",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Metals and Castings,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Avni Industries,Rajkot,,,,,,"Marine, Locomotive, Automotive, Oil And Gas, Earthmover",Centrifugal Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Mangal Iron Pvt Ltd,Rajkot,,,,,,"Oil & Gas, Valves & Pumps, Fire, Agricultural Equipment, Food & Dairy, Automotive, Structural Hardware, General Engineering, Fittings & Assemblies, Defence",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Shraddha Brass Products,Jamnagar,,,,,,,"CNC Machining, Cold Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Xatto Engineering,Tiruvallur,,,,,,,"CNC Machining, Injection Molding",,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Supercast Founders & Engineers,Waliv,,,,,,,Gravity Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Simar Forge,Ludhiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
